match_id,patch,team_a_1,team_a_2,team_a_3,team_a_4,team_a_5,team_b_1,team_b_2,team_b_3,team_b_4,team_b_5,team_a_win
NA1_5507040886,16.5,Ahri,MissFortune,Rell,Riven,Skarner,Anivia,Fizz,JarvanIV,Lucian,Taric,0
NA1_5506399866,16.5,Ambessa,Anivia,Bard,Draven,Zaahen,Corki,Riven,Sona,Taliyah,Vi,0
NA1_5510422005,16.5,Camille,Evelynn,Janna,JarvanIV,Smolder,Graves,Jayce,Jhin,Lux,Swain,1
NA1_5507701519,16.5,Ambessa,Ezreal,Karma,Riven,TwistedFate,MasterYi,Ornn,Talon,Yunara,Yuumi,0
NA1_5510874649,16.5,Braum,Diana,Gangplank,Katarina,Twitch,JarvanIV,Kassadin,KogMaw,Lucian,Nami,1
NA1_5510854417,16.5,Akali,RekSai,Thresh,TwistedFate,Yasuo,Aurora,Rakan,Talon,Twitch,Volibear,1
NA1_5509600018,16.5,Alistar,Karthus,Nasus,Renekton,Xayah,Annie,Gragas,Nautilus,Samira,Shaco,0
NA1_5509418286,16.5,Amumu,Karma,Yone,Yunara,Zaahen,Darius,Ezreal,Nautilus,Qiyana,Taliyah,0
NA1_5506259584,16.5,Aatrox,Akshan,Amumu,Ashe,Bard,Nami,Nasus,Ryze,Varus,Zaahen,1
NA1_5506660016,16.5,Ahri,Ambessa,KogMaw,Rakan,Yasuo,Garen,Jayce,Jhin,Taliyah,Xerath,1
NA1_5507364957,16.5,Darius,Nautilus,Neeko,Teemo,Varus,Hwei,Jayce,Kayn,KogMaw,Lulu,1
NA1_5506580239,16.5,Fiora,Malphite,Mel,Smolder,Zac,Jax,Nami,Seraphine,XinZhao,Zed,1
NA1_5508833956,16.5,AurelionSol,Khazix,Rell,Samira,Sion,Blitzcrank,Katarina,Naafiri,Urgot,Vayne,1
NA1_5509619167,16.5,Akali,Bard,Chogath,Rengar,Vayne,Diana,Renekton,Twitch,Yasuo,Zyra,1
NA1_5507228322,16.5,Aatrox,Alistar,Aphelios,Fizz,Malphite,Fiora,Leblanc,Leona,Samira,Udyr,1
NA1_5509958710,16.5,Akali,Draven,LeeSin,Nautilus,Yone,Ekko,Gwen,Jhin,Milio,Viego,1
NA1_5508248263,16.5,Ambessa,Draven,Morgana,Yasuo,Yorick,Hecarim,Vayne,Viktor,Xerath,Zaahen,0
NA1_5507812545,16.5,Aphelios,Kindred,Lulu,TwistedFate,Yone,Ezreal,Katarina,Khazix,Sona,Zaahen,0
NA1_5509867528,16.5,Bard,Corki,Quinn,Zed,Zoe,DrMundo,Ezreal,Karma,Nocturne,Ryze,0
NA1_5508011102,16.5,Gangplank,Graves,Lucian,Malzahar,Nami,Morgana,Shen,Syndra,Viego,Zeri,1
NA1_5508403886,16.5,Briar,Nilah,Seraphine,Vayne,Vex,Corki,Garen,LeeSin,Nami,Xerath,0
NA1_5506026194,16.5,Alistar,Ashe,Kindred,Urgot,Xerath,Ambessa,Graves,Seraphine,Syndra,Yone,1
NA1_5510533226,16.5,Lucian,Pyke,Sett,Xerath,Zaahen,Malzahar,Rakan,Teemo,Twitch,XinZhao,1
NA1_5508979989,16.5,Akali,Ambessa,Aphelios,Poppy,Viego,Bard,Ezreal,Nunu,Ornn,Yasuo,0
NA1_5508615066,16.5,Diana,Jax,Swain,Sylas,Zeri,Fiora,Kassadin,LeeSin,Thresh,Yunara,1
NA1_5510114405,16.5,Brand,Ornn,Senna,Vayne,Viego,Hecarim,Jinx,Sona,Syndra,Urgot,0
