match_id,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
NA1_5493023087,16.3,Cassiopeia,MonkeyKing,Anivia,Lucian,Nami,Sion,DrMundo,Xerath,Ashe,Milio,0.5034802784222738,0.6341463414634146,0.5757575757575758,0.5882352941176471,0.4861111111111111,0.6111111111111112,0.5056497175141242,0.5076923076923077,0.48514851485148514,0.5306122448979592,431,123,99,85,504,36,354,65,202,98,0.5575461201744045,0.5280427792133975,0.02950334096100704,1
NA1_5492991757,16.3,Gangplank,Malphite,Sylas,Yunara,Braum,Chogath,Zaahen,Anivia,Jinx,Zilean,0.49029126213592233,0.5323741007194245,0.6039603960396039,0.6060606060606061,0.6551724137931034,0.533678756476684,0.4819277108433735,0.5757575757575758,0.5882352941176471,0.5220883534136547,206,139,101,33,29,193,83,99,85,249,0.5775717557497321,0.540337538121787,0.0372342176279451,1
NA1_5492939732,16.3,Zed,Viego,Aurora,Caitlyn,Karma,Gwen,Hecarim,Malphite,Kaisa,Maokai,0.4852941176470588,0.4,0.5,0.5088967971530249,0.5180327868852459,0.4830508474576271,0.65,0.5757575757575758,0.5882352941176471,0.425531914893617,272,5,86,281,305,118,40,99,85,94,0.48244474033706597,0.5445151264452934,-0.06207038610822746,0
NA1_5492886949,16.3,LeeSin,Nidalee,Syndra,Ashe,Seraphine,Malphite,Kayn,Brand,Corki,Soraka,0.5594405594405595,0.42857142857142855,0.5757575757575758,0.5882352941176471,0.4689265536723164,0.608433734939759,0.4965034965034965,0.564625850340136,0.5350877192982456,0.5098039215686274,286,21,99,85,177,166,572,147,114,255,0.5241862823119054,0.5428909445300529,-0.018704662218147483,1
NA1_5492799806,16.3,Teemo,Nunu,Smolder,Lucian,Nami,Ambessa,Gwen,Katarina,Ezreal,KSante,0.49327354260089684,0.5362318840579711,0.5757575757575758,0.5882352941176471,0.4742268041237113,0.48936170212765956,0.6153846153846154,0.4444444444444444,0.5189873417721519,0.5371900826446281,446,138,99,85,291,188,13,18,79,242,0.5335450201315604,0.5210736372746998,0.012471382856860558,1
NA1_5492766597,16.3,Vladimir,Talon,Ahri,Corki,Nami,Zaahen,XinZhao,Kassadin,Kaisa,Senna,0.5017421602787456,0.49537037037037035,0.5757575757575758,0.5882352941176471,0.8235294117647058,0.5901639344262295,0.49572649572649574,0.5283018867924528,0.47506561679790027,0.6206896551724138,287,216,99,85,17,61,117,371,381,58,0.596926962457809,0.5419895177830985,0.05493744467471051,1
NA1_5492723815,16.3,DrMundo,Belveth,Anivia,Caitlyn,Karma,Chogath,Aatrox,Akali,Lucian,Taric,0.48823529411764705,0.4523809523809524,0.5757575757575758,0.5882352941176471,0.5416666666666666,0.47393364928909953,0.5265486725663717,0.48,0.5017921146953405,0.5043103448275862,170,210,99,85,120,211,226,50,279,232,0.5292551566080979,0.4973169562756796,0.03193820033241823,1
NA1_5492681211,16.3,Mordekaiser,Volibear,Syndra,Caitlyn,Morgana,Renekton,RekSai,Ziggs,Varus,Neeko,0.5124282982791587,0.5357142857142857,0.5757575757575758,0.4015748031496063,0.5882352941176471,0.47619047619047616,0.4661016949152542,0.5560975609756098,0.4864864864864865,0.5255972696245734,523,28,99,127,85,42,118,205,37,293,0.5227420514036547,0.50209469763848,0.02064735376517468,0
NA1_5492660825,16.3,KSante,LeeSin,Syndra,Caitlyn,Braum,Shen,Trundle,Cassiopeia,Jhin,Leona,0.463768115942029,0.5578231292517006,0.5757575757575758,0.5882352941176471,0.5777777777777777,0.5257731958762887,0.6341463414634146,0.5473251028806584,0.5096153846153846,0.5542857142857143,69,147,99,85,135,97,123,243,104,175,0.552672378569346,0.5542291478242921,-0.0015567692549460777,0
NA1_5492595393,16.3,Zaahen,Vi,Zed,Veigar,Nami,Pantheon,Graves,Anivia,Caitlyn,Karma,0.5569620253164557,0.5393939393939394,0.49444444444444446,0.5236220472440944,0.5,0.5443037974683544,0.6415094339622641,0.5757575757575758,0.5882352941176471,0.559322033898305,79,165,720,254,94,79,106,99,85,236,0.5228844912797868,0.5818256270408293,-0.05894113576104254,1
