match_id,source_platform,source_region,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
EUW1_7786242141,EUW1,EUROPE,16.6,DrMundo,Talon,Galio,Cassiopeia,Blitzcrank,Chogath,Zyra,Annie,Kalista,Thresh,0.5636363636363636,0.5770925110132159,0.5469255663430421,0.5478468899521531,0.5294117647058824,0.5280898876404494,0.5286343612334802,0.5328467153284672,0.542314335060449,0.5371702637889688,220,227,309,418,425,267,681,274,579,417,0.5529826191301315,0.533811112610363,0.01917150651976851,0
EUW1_7786191298,EUW1,EUROPE,16.6,Vayne,Nocturne,Orianna,Corki,Nami,Singed,Aatrox,Naafiri,Caitlyn,Karma,0.5456140350877193,0.5670731707317073,0.5357142857142857,0.5944272445820433,0.5571955719557196,0.5613496932515337,0.5636363636363636,0.5280898876404494,0.5355329949238579,0.5531914893617021,570,328,280,323,271,652,220,267,394,188,0.560004861614295,0.5483600857627813,0.011644775851513689,1
EUW1_7786156614,EUW1,EUROPE,16.6,Singed,Naafiri,Orianna,Ezreal,Karma,Vayne,XinZhao,Azir,Xayah,Nautilus,0.5613496932515337,0.5636363636363636,0.5815789473684211,0.5357142857142857,0.5747126436781609,0.5466666666666666,0.5233415233415234,0.8690476190476191,0.5368916797488226,0.6159420289855072,652,220,380,280,174,450,407,84,637,138,0.5633983867297531,0.6183779035580278,-0.05497951682827473,1
EUW1_7786106036,EUW1,EUROPE,16.6,Urgot,Nunu,Katarina,Velkoz,Nami,Anivia,JarvanIV,Zed,Kaisa,Taric,0.5677655677655677,0.5738396624472574,0.6991869918699187,0.5290858725761773,0.5571955719557196,0.547486033519553,0.5636363636363636,0.5368098159509203,0.55078125,0.5472972972972973,273,237,123,361,271,358,220,326,256,296,0.5854147333229281,0.5492021520808269,0.03621258124210125,1
KR_8139429126,KR,ASIA,16.6,Gangplank,Taliyah,Zoe,Yunara,Nautilus,Camille,Ivern,Vex,Ezreal,Karma,0.49538866930171277,0.5911602209944752,0.5127610208816705,0.4965753424657534,0.5355191256830601,0.5950413223140496,0.5085324232081911,0.6048780487804878,0.5195911413969335,0.5512048192771084,759,181,431,584,366,121,586,205,587,332,0.5262808758653345,0.5558495509953542,-0.029568675130019706,0
KR_8139412778,KR,ASIA,16.6,Rumble,JarvanIV,Talon,Jinx,Lulu,Vladimir,Graves,Anivia,Draven,Nami,0.5304568527918782,0.5245901639344263,0.697841726618705,0.5480769230769231,0.5282485875706214,0.49538866930171277,0.5127610208816705,0.5023809523809524,0.5824175824175825,0.5096952908587258,394,244,139,104,354,759,431,420,273,361,0.5658428507985108,0.5205287031681288,0.045314147630381996,1
KR_8139415097,KR,ASIA,16.6,Vladimir,XinZhao,Lissandra,Xayah,Braum,Shyvana,Vi,Ahri,Heimerdinger,Maokai,0.49538866930171277,0.567741935483871,0.5175,0.5025125628140703,0.5634328358208955,0.5125858123569794,0.5085324232081911,0.5,0.5402298850574713,0.5185643564356436,759,155,400,398,268,437,586,186,174,808,0.52931520068411,0.5159824954116571,0.013332705272452894,1
KR_8139392385,KR,ASIA,16.6,Sion,Evelynn,Tryndamere,Ezreal,Karma,Fiora,Kayn,Ekko,Varus,Nidalee,0.6304347826086957,0.5189393939393939,0.5649717514124294,0.5278396436525612,0.5223367697594502,0.49538866930171277,0.5366568914956011,0.697841726618705,0.5136518771331058,0.5662650602409639,138,264,177,449,291,759,341,139,586,415,0.5529044682745061,0.5619608449580177,-0.009056376683511558,1
KR_8139387167,KR,ASIA,16.6,Zaahen,Kayn,Viktor,Ashe,Nautilus,Jax,Vi,Velkoz,Jinx,Shen,0.49538866930171277,0.5366568914956011,0.5649717514124294,0.4984126984126984,0.5263157894736842,0.65,0.5647058823529412,0.5377643504531722,0.5203045685279187,0.513595166163142,759,341,177,315,304,220,425,331,394,331,0.5243491600192252,0.5572739934994348,-0.03292483348020969,0
KR_8139375213,KR,ASIA,16.6,Sion,Nunu,Viktor,Sivir,Nidalee,Karthus,Belveth,Riven,Ezreal,Karma,0.5,0.5627376425855514,0.5962732919254659,0.5421686746987951,0.5990990990990991,0.49538866930171277,0.5333333333333333,0.5016216216216216,0.5316455696202531,0.5186915887850467,88,263,161,166,222,759,330,925,237,428,0.5600557416617823,0.5161361565323934,0.04391958512938887,1
KR_8139352497,KR,ASIA,16.6,Vayne,Nunu,Aurora,Ashe,Alistar,Malphite,Aatrox,Sylas,Ezreal,Braum,0.49538866930171277,0.5627376425855514,0.5833333333333334,0.5316455696202531,0.5054347826086957,0.5304347826086957,0.5052816901408451,0.5538461538461539,0.5238095238095238,0.5063694267515924,759,263,108,237,184,345,568,195,231,628,0.5357079994899092,0.5239483154313621,0.011759684058547104,1
KR_8139317945,KR,ASIA,16.6,Jayce,Sejuani,Yone,Draven,Nami,Malphite,Karthus,Aurora,Kaisa,Poppy,0.5237603305785123,0.5194805194805194,0.6176470588235294,0.6595744680851063,0.5063694267515924,0.5963302752293578,0.49538866930171277,0.5009208103130756,0.543778801843318,0.5234375,968,231,136,47,628,327,759,543,217,128,0.5653663607438519,0.5319712113374928,0.033395149406359126,1
KR_8139291920,KR,ASIA,16.6,Sion,Nunu,Vex,Jinx,Thresh,Orianna,Ambessa,Viego,Ezreal,Jayce,0.5323741007194245,0.5296803652968036,0.5198019801980198,0.6176470588235294,0.5637065637065637,0.49538866930171277,0.6085271317829457,0.536697247706422,0.5420289855072464,0.5098039215686274,139,219,202,136,259,759,258,218,345,510,0.5526420137488681,0.5384891911733909,0.01415282257547723,0
KR_8139263869,KR,ASIA,16.6,Skarner,Jayce,Ryze,Yunara,Neeko,Fiora,Zyra,Leblanc,Kaisa,Soraka,0.5077319587628866,0.6066350710900474,0.54,0.5758928571428571,0.6106194690265486,0.49538866930171277,0.5863636363636363,0.5009208103130756,0.5608856088560885,0.5057692307692307,388,211,250,224,226,759,220,543,271,520,0.568175871204468,0.5298655911207488,0.03831028008371917,1
KR_8139216229,KR,ASIA,16.6,Vladimir,Zac,Yone,Ezreal,Lux,Shyvana,Kindred,Akshan,Swain,Neeko,0.49538866930171277,0.5085324232081911,0.5934959349593496,0.5092936802973977,0.51931330472103,0.5120274914089347,0.5141242937853108,0.517193947730399,0.5148247978436657,0.5813953488372093,759,586,123,538,233,291,354,727,371,215,0.5252048024975362,0.5279131759211039,-0.002708373423567667,1
OC1_695950682,OC1,SEA,16.6,Jayce,Ekko,Viego,Draven,Nami,Renekton,Khazix,Diana,Jhin,Sona,0.5142857142857142,0.5,0.5192307692307693,0.4669603524229075,0.5078125,0.6695652173913044,0.5416666666666666,0.5888888888888889,0.576,0.4926829268292683,35,48,208,227,384,115,96,90,125,205,0.5016578671878782,0.5737607399552257,-0.0721028727673475,0
OC1_695947769,OC1,SEA,16.6,Renekton,Graves,Katarina,Jinx,Ashe,Fizz,Shyvana,Akali,Corki,Janna,0.5488721804511278,0.49,0.5,0.576,0.45689655172413796,0.5,0.5056603773584906,0.38461538461538464,0.5131578947368421,0.625,266,200,132,125,116,0,530,13,152,104,0.5143537464350532,0.5056867313421435,0.00866701509290968,1
OC1_695925107,OC1,SEA,16.6,Zed,Naafiri,Annie,Kaisa,Poppy,Nasus,Graves,Vladimir,Brand,Leona,0.6,0.6013513513513513,0.576,0.5238095238095238,0.5144508670520231,0.5273972602739726,0.4738955823293173,0.625,0.5701754385964912,0.48533333333333334,10,148,125,420,173,146,498,8,114,375,0.5631223484425797,0.5363603229066228,0.026762025535956857,0
SG2_141597346,SG2,SEA,16.6,Akali,Vi,Tryndamere,Zeri,Alistar,Yasuo,Aatrox,Talon,Kaisa,Braum,0.35714285714285715,0.45454545454545453,0.5714285714285714,0.43902439024390244,0.5170454545454546,0.3333333333333333,0.5260115606936416,0.5303514376996805,0.5982142857142857,0.5150501672240803,14,264,21,82,176,9,346,313,112,299,0.467837345581248,0.5005921569330043,-0.032754811351756286,1
